panel_id,x_m,y_m,z_m,projected_radius_m,azimuth_deg,normal_x,normal_y,normal_z,projected_area_m2,equivalent_cell_size_m
3149,-22.354834190,10.690869698,-10.722252255,24.779695450,154.441229519,0.827956821859,-0.395958136981,0.397120453887,0.612686207723,0.782742746835
3150,9.263651059,-22.987237757,-10.713154033,24.783630296,291.948993569,-0.343098187367,0.851379176201,0.396783482716,0.612686207723,0.782742746835
3151,8.698308583,23.211264130,-10.704048078,24.787564518,69.456757619,-0.322159577154,-0.859676449271,0.396446225126,0.612686207723,0.782742746835
3152,-22.096351645,-11.241424411,-10.694934370,24.791498116,206.964521669,0.818383394255,0.416349052275,0.396108680386,0.612686207723,0.782742746835
3153,23.890424530,-6.637847443,-10.685812890,24.795431089,344.472285719,-0.884830538140,0.245846201592,0.395770847762,0.612686207723,0.782742746835
3154,-13.134336676,21.035627565,-10.676683616,24.799363439,121.980049769,0.486456913941,-0.779097317208,0.395432726514,0.612686207723,0.782742746835
3155,-4.525228477,-24.386999780,-10.667546529,24.803295165,259.487813819,0.167601054691,0.903222214080,0.395094315903,0.612686207723,0.782742746835
3156,19.813084004,14.927832307,-10.658401610,24.807226268,36.995577869,-0.733817926062,-0.552882678034,0.394755615184,0.612686207723,0.782742746835
3157,-24.697069768,2.376603475,-10.649248837,24.811156748,174.503341919,0.914706287699,-0.088022350935,0.394416623610,0.612686207723,0.782742746835
3158,16.608108200,-18.437984307,-10.640088192,24.815086606,312.011105969,-0.615115118514,0.682888307657,0.394077340430,0.612686207723,0.782742746835
3159,0.208410329,24.818140794,-10.630919652,24.819015842,89.518870019,-0.007718901082,-0.919190399789,0.393737764891,0.612686207723,0.782742746835
3160,-16.920766491,-18.162219930,-10.621743198,24.822944455,227.026634070,0.626695055218,0.672674812226,0.393397896235,0.612686207723,0.782742746835
3161,24.749165586,1.962752735,-10.612558810,24.826872447,4.534398120,-0.916635762448,-0.072694545733,0.393057733701,0.612686207723,0.782742746835
3162,-19.578181473,15.272964015,-10.603366466,24.830799818,142.042162170,0.725117832319,-0.565665333895,0.392717276527,0.612686207723,0.782742746835
3163,4.120254226,-24.490552235,-10.594166147,24.834726567,279.549926220,-0.152602008352,0.907057490186,0.392376523946,0.612686207723,0.782742746835
3164,13.507118107,20.845057644,-10.584957830,24.838652696,57.057690270,-0.500263633579,-0.772039172008,0.392035475186,0.612686207723,0.782742746835
3165,-24.044161992,-6.247556794,-10.575741496,24.842578204,194.565454320,0.890524518241,0.231390992365,0.391694129474,0.612686207723,0.782742746835
3166,21.953048552,-11.636682309,-10.566517123,24.846503092,332.073218370,-0.813075872299,0.430988233667,0.391352486034,0.612686207723,0.782742746835
3167,-8.328343999,23.413295928,-10.557284690,24.850427360,109.580982420,0.308457185142,-0.867159108439,0.391010544085,0.612686207723,0.782742746835
3168,-9.675919981,-22.893565397,-10.548044177,24.854351008,247.088746470,0.358367406694,0.847909829506,0.390668302843,0.612686207723,0.782742746835
3169,22.602670546,10.346645461,-10.538795561,24.858274037,24.596510520,-0.837135946158,-0.383209091154,0.390325761521,0.612686207723,0.782742746835
3170,-23.659297043,7.639795523,-10.529538822,24.862196448,162.104274570,0.876270260849,-0.282955389743,0.389982919328,0.612686207723,0.782742746835
3171,12.286959444,-21.618382546,-10.520273938,24.866118239,299.612038620,-0.455072572003,0.800680835029,0.389639775470,0.612686207723,0.782742746835
3172,5.543860168,24.244266844,-10.511000887,24.870039412,77.119802670,-0.205328154380,-0.897935809026,0.389296329149,0.612686207723,0.782742746835
3173,-20.467862977,-14.134371921,-10.501719648,24.873959967,214.627566720,0.758068999136,0.523495256330,0.388952579564,0.612686207723,0.782742746835
3174,24.643879274,-3.404133199,-10.492430200,24.877879904,352.135330770,-0.912736269407,0.126079007368,0.388608525910,0.612686207723,0.782742746835
3175,-15.874671214,19.159821148,-10.483132519,24.881799223,129.643094820,0.587950785719,-0.709623005477,0.388264167379,0.612686207723,0.782742746835
3176,-1.236979507,-24.854956012,-10.473826585,24.885717925,267.150858870,0.045814055797,0.920553926373,0.387919503159,0.612686207723,0.782742746835
3177,17.704178704,17.494457327,-10.464512376,24.889636011,44.658622920,-0.655710322363,-0.647942863958,0.387574532434,0.612686207723,0.782742746835
3178,-24.875761184,-0.941015576,-10.455189868,24.893553479,182.166386970,0.921324488310,0.034852428737,0.387229254386,0.612686207723,0.782742746835
3179,18.981245120,-16.111994370,-10.445859041,24.897470331,319.674151020,-0.703009078517,0.596740532234,0.386883668191,0.612686207723,0.782742746835
3180,-3.113173208,24.706015574,-10.436519872,24.901386567,97.181915070,0.115302711423,-0.915037613853,0.386537773023,0.612686207723,0.782742746835
3181,-14.395379941,-20.323560549,-10.427172337,24.905302187,234.689679120,0.533162220029,0.752724464794,0.386191568051,0.612686207723,0.782742746835
3182,24.346899677,5.262848776,-10.417816416,24.909217192,12.197443170,-0.901737025080,-0.194920325019,0.385845052443,0.612686207723,0.782742746835
3183,-21.511029214,12.567408141,-10.408452085,24.913131582,149.705207220,0.796704785688,-0.465459560765,0.385498225359,0.612686207723,0.782742746835
